,0,1,2,3,4,5
19,-4.525925636291504,-4.49579381942749,-4.699696063995361,-3.4334559440612793,-3.6674611568450928,-4.160863876342773
20,-4.584568023681641,-4.413680076599121,-4.584568023681641,-4.140844821929932,-3.6927735805511475,-4.931674957275391
21,-2.5852913856506348,-3.921091079711914,-3.981170415878296,-2.770063638687134,-5.579249858856201,-3.377284049987793
22,-3.4321351051330566,-5.004125595092773,-3.4666779041290283,-3.2895777225494385,-3.6550614833831787,-4.5156474113464355
23,-3.7928943634033203,-5.273006439208984,-4.20937967300415,-5.996905326843262,-4.350660800933838,-4.699101448059082
24,-4.933163642883301,-5.370135307312012,-4.691654682159424,-7.889328956604004,-5.788351535797119,-4.085369110107422
25,-3.9127297401428223,-3.81779146194458,-2.410313129425049,-5.490757465362549,-3.0632970333099365,-4.373843669891357
26,-4.300821304321289,-4.122939586639404,-5.366074562072754,-4.7780609130859375,-5.236628532409668,-5.469272613525391
27,-5.200672626495361,-5.171358585357666,-5.009941101074219,-5.339577674865723,-5.110013484954834,-4.193838119506836
28,-4.382837295532227,-4.298152923583984,-4.301046371459961,-4.462653636932373,-4.1409220695495605,-3.8938539028167725
29,-6.310209274291992,-6.190966606140137,-6.4655985832214355,-5.969159126281738,-6.200355052947998,-5.6760029792785645
30,-5.389949321746826,-5.101552963256836,-4.1183319091796875,-3.85693621635437,-4.985963821411133,-4.271317481994629
31,-4.296985626220703,-3.962432861328125,-4.631313800811768,-3.8746092319488525,-4.30641508102417,-4.113426685333252
32,-3.561542272567749,-3.7026124000549316,-3.7408788204193115,-3.965635299682617,-4.286037445068359,-4.591306209564209
33,-3.9506688117980957,-4.896409034729004,-4.382539749145508,-6.190354347229004,-5.489569187164307,-3.926555633544922
34,-4.308745384216309,-4.040709495544434,-4.028299808502197,-3.590580463409424,-5.199184417724609,-4.314813137054443
35,-2.90158748626709,-3.4398984909057617,-1.299340009689331,-3.783423900604248,-3.2838966846466064,-3.016602039337158
36,-4.25396728515625,-4.41852331161499,-4.300748825073242,-5.635022163391113,-7.0961995124816895,-4.74407958984375
37,-3.811685800552368,-4.836177349090576,-3.866175889968872,-4.993806838989258,-3.7627155780792236,-5.381385326385498
38,-4.319890975952148,-4.422872543334961,-4.098166465759277,-5.252893447875977,-7.837277889251709,-4.6561360359191895
39,-3.888995409011841,-5.480734348297119,-4.716114044189453,-5.481390953063965,-3.757809638977051,-4.716114044189453
40,-3.7515828609466553,-5.328803539276123,-4.158547401428223,-3.499685525894165,-4.169950485229492,-4.158547401428223
41,-3.375808000564575,-4.283478736877441,-2.513542890548706,-4.1062164306640625,-3.8925387859344482,-2.0450849533081055
42,-3.8059089183807373,-3.65779447555542,-3.065936326980591,-4.213533401489258,-3.447070360183716,-4.974416255950928
43,-4.543517589569092,-4.803292751312256,-4.964158535003662,-4.47056770324707,-5.534149646759033,-4.8647847175598145
44,-5.121744155883789,-4.950653553009033,-4.80156135559082,-3.3899619579315186,-3.6948189735412598,-5.903939723968506
45,-6.598621845245361,-5.46464729309082,-5.893324375152588,-4.881518840789795,-6.501540184020996,-6.891690254211426
